TDS,EC,pH,SI1,SI2,SI3,SI4,SI5,SI6
0.100436681,0.100436681,0.381481481,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
0.993281827,0.993281827,0.974074074,0.521429202,0.501163849,0.195110266,0.282935927,0.018819282,0.241179919
1,1,0.977777778,0.521429202,0.501163849,0.195110266,0.282935927,0.018819282,0.241179919
0.993281827,0.993281827,0.977777778,0.521429202,0.501163849,0.195110266,0.282935927,0.018819282,0.241179919
0.025864965,0.025864965,0.444444444,0.524882457,0.504005703,0.198084561,0.284834083,0.019388055,0.241892433
0.04165267,0.04165267,0.440740741,0.524882457,0.504005703,0.198084561,0.284834083,0.019388055,0.241892433
0.019818609,0.019818609,0.47037037,0.524882457,0.504005703,0.198084561,0.284834083,0.019388055,0.241892433
0.12764528,0.12764528,0.577777778,0.525988228,0.505387266,0.198814662,0.284841358,0.01953791,0.241645377
0.128653006,0.128653006,0.566666667,0.525988228,0.505387266,0.198814662,0.284841358,0.01953791,0.241645377
0.127981189,0.127981189,0.455555556,0.525988228,0.505387266,0.198814662,0.284841358,0.01953791,0.241645377
0.132012093,0.132012093,0.296296296,0.52507171,0.504605348,0.198033825,0.284320086,0.019386647,0.241426182
0.132012093,0.132012093,0.337037037,0.52507171,0.504605348,0.198033825,0.284320086,0.019386647,0.241426182
0.13268391,0.13268391,0.340740741,0.52507171,0.504605348,0.198033825,0.284320086,0.019386647,0.241426182
0.172321129,0.172321129,0.403703704,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
0.168290225,0.168290225,0.444444444,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
0.17433658,0.17433658,0.42962963,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
0.102452133,0.102452133,0.259259259,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
0.101444407,0.101444407,0.314814815,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
0.101780316,0.101780316,0.3,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
0.667450453,0.667450453,0.52962963,0.521429202,0.501163849,0.195110266,0.282935927,0.018819282,0.241179919
0.657373194,0.657373194,0.525925926,0.521429202,0.501163849,0.195110266,0.282935927,0.018819282,0.241179919
0.660732281,0.660732281,0.551851852,0.521429202,0.501163849,0.195110266,0.282935927,0.018819282,0.241179919
0.034262681,0.034262681,0.433333333,0.524882457,0.504005703,0.198084561,0.284834083,0.019388055,0.241892433
0.033926772,0.033926772,0.466666667,0.524882457,0.504005703,0.198084561,0.284834083,0.019388055,0.241892433
0.026200873,0.026200873,0.474074074,0.524882457,0.504005703,0.198084561,0.284834083,0.019388055,0.241892433
0.184749748,0.184749748,0.525925926,0.525988228,0.505387266,0.198814662,0.284841358,0.01953791,0.241645377
0.182734296,0.182734296,0.525925926,0.525988228,0.505387266,0.198814662,0.284841358,0.01953791,0.241645377
0.182734296,0.182734296,0.52962963,0.525988228,0.505387266,0.198814662,0.284841358,0.01953791,0.241645377
0.184413839,0.184413839,0.525925926,0.52507171,0.504605348,0.198033825,0.284320086,0.019386647,0.241426182
0.189788378,0.189788378,0.52962963,0.52507171,0.504605348,0.198033825,0.284320086,0.019386647,0.241426182
0.187772926,0.187772926,0.514814815,0.52507171,0.504605348,0.198033825,0.284320086,0.019386647,0.241426182
0.231105139,0.231105139,0.511111111,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
0.229425596,0.229425596,0.507407407,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
0.231441048,0.231441048,0.514814815,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
0.711118576,0.711118576,0.911111111,0.501538295,0.48321108,0.179179282,0.277131134,0.015889747,0.241802068
0.731273094,0.731273094,0.911111111,0.501538295,0.48321108,0.179179282,0.277131134,0.015889747,0.241802068
0.737991266,0.737991266,0.911111111,0.501538295,0.48321108,0.179179282,0.277131134,0.015889747,0.241802068
0.714477662,0.714477662,0.896296296,0.501814589,0.483412039,0.179421705,0.277397881,0.015931712,0.241989969
0.731273094,0.731273094,0.9,0.501814589,0.483412039,0.179421705,0.277397881,0.015931712,0.241989969
0.714477662,0.714477662,0.9,0.501814589,0.483412039,0.179421705,0.277397881,0.015931712,0.241989969
0.724554921,0.724554921,0.755555556,0.502063895,0.483591053,0.179641263,0.277627324,0.015969729,0.242145669
0.731273094,0.731273094,0.762962963,0.502063895,0.483591053,0.179641263,0.277627324,0.015969729,0.242145669
0.73463218,0.73463218,0.785185185,0.502063895,0.483591053,0.179641263,0.277627324,0.015969729,0.242145669
0.684245885,0.684245885,0.911111111,0.501538295,0.48321108,0.179179282,0.277131134,0.015889747,0.241802068
0.690964058,0.690964058,0.914814815,0.501538295,0.48321108,0.179179282,0.277131134,0.015889747,0.241802068
