Station,Latitude,Longitude,Dates,TDS,EC,pH
Beseka  uper,8.90574,39.8977,18/08/2021,1742.00,2.60,8.98
Beseka  out  gate,8.888565,39.917802,24/09/2021,193.70,0.30,7.70
Beseka  middle,8.89731,39.90717,24/09/2021,1714.00,2.60,9.08
Beseka  uper,8.90574,39.8977,24/09/2021,1675.00,2.50,9.10
DEHOSPPRING,9.166462,40.083482,24/09/2021,1131.68,1.69,8.02
KESEM,9.335145,40.172296,24/09/2021,174.85,0.27,7.28
WEIR SITE,9.206525,40.119202,24/09/2021,160.55,0.25,7.25
WARC,9.335145,40.172296,24/09/2021,174.85,0.27,7.44
Beseka  out  gate,8.888565,39.917802,30/10/2021,420.50,0.84,8.09
Beseka  middle,8.89731,39.90717,30/10/2021,1809.00,2.70,8.97
Beseka  uper,8.90574,39.8977,30/10/2021,1809.00,2.70,8.96
DEHOSPPRING,9.166462,40.083482,30/10/2021,1094.60,1.68,8.26
KESEM,9.335145,40.172296,30/10/2021,140.50,0.28,7.45
WEIR SITE,9.206525,40.119202,30/10/2021,333.50,0.67,7.49
WARC,9.335145,40.172296,30/10/2021,369.00,0.74,8.45
WEIR SITE,9.206525,40.119202,07/01/2022,580.00,0.91,7.15
DEHOSPPRING,9.166462,40.083482,07/01/2022,1048.00,1.64,7.41
KESEM,9.335145,40.172296,07/01/2022,186.00,0.29,6.89
WARC,9.335145,40.172296,07/01/2022,561.00,0.88,7.01
WARC,9.335145,40.172296,12/06/2023,339.84,0.531,7.96
WARC,9.335145,40.172296,12/06/2023,328.96,0.514,8.38
WARC,9.335145,40.172296,12/06/2023,336,0.525,8.19
WEIR SITE,9.206525,40.119202,12/06/2023,141.44,0.221,8.08
WEIR SITE,9.206525,40.119202,12/06/2023,144,0.225,8.13
WEIR SITE,9.206525,40.119202,12/06/2023,156.16,0.244,8.14
KEBENA,9.251618,40.048613,12/06/2023,304,0.475,8.28
KEBENA,9.251618,40.048613,12/06/2023,297.6,0.465,8.25
KEBENA,9.251618,40.048613,12/06/2023,289.92,0.453,8.22
KESEM,9.198116,40.045662,12/06/2023,295.04,0.461,8.1
KESEM,9.198116,40.045662,12/06/2023,292.48,0.457,8.13
KESEM,9.198116,40.045662,12/06/2023,298.24,0.466,8.06
AWASHRIVER@ADDIS RAI,9.188908,40.125419,12/06/2023,298.24,0.466,8.11
AWASHRIVER@ADDIS RAI,9.188908,40.125419,12/06/2023,298.24,0.466,7.94
AWASHRIVER@ADDIS RAI,9.188908,40.125419,12/06/2023,302.08,0.472,8.03
