TDS,EC,pH,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
0.020826335,0.020826335,0.266666667,0.25583005,0.3942914,0.3226221,0.28480422,0.28892767,0.3072727,0.31959313,0.36504817,0.39140785,0.37681356,0.41052946,0.1677048
0.078266711,0.078266711,0.296296296,0.25098765,0.38884866,0.3160132,0.27000406,0.27447897,0.29184854,0.30620164,0.35345164,0.38011906,0.3669373,0.4004428,0.17034972
0.074571716,0.074571716,0.303703704,0.25098765,0.38884866,0.3160132,0.27000406,0.27447897,0.29184854,0.30620164,0.35345164,0.38011906,0.3669373,0.4004428,0.17034972
0.077930803,0.077930803,0.296296296,0.25098765,0.38884866,0.3160132,0.27000406,0.27447897,0.29184854,0.30620164,0.35345164,0.38011906,0.3669373,0.4004428,0.17034972
0.078266711,0.078266711,0.233333333,0.2523924,0.39463708,0.32055435,0.27845767,0.28252253,0.29964107,0.31390527,0.3621243,0.38916236,0.37569356,0.40947086,0.17046048
0.087336245,0.087336245,0.251851852,0.2523924,0.39463708,0.32055435,0.27845767,0.28252253,0.29964107,0.31390527,0.3621243,0.38916236,0.37569356,0.40947086,0.17046048
0.084984884,0.084984884,0.259259259,0.2523924,0.39463708,0.32055435,0.27845767,0.28252253,0.29964107,0.31390527,0.3621243,0.38916236,0.37569356,0.40947086,0.17046048
0.075579442,0.075579442,0.285185185,0.2566537,0.39651158,0.32455304,0.28860083,0.2925698,0.3109165,0.32304516,0.36865303,0.39510176,0.38030496,0.41412145,0.16752493
0.076587168,0.076587168,0.27037037,0.2566537,0.39651158,0.32455304,0.28860083,0.2925698,0.3109165,0.32304516,0.36865303,0.39510176,0.38030496,0.41412145,0.16752493
0.075915351,0.075915351,0.314814815,0.2566537,0.39651158,0.32455304,0.28860083,0.2925698,0.3109165,0.32304516,0.36865303,0.39510176,0.38030496,0.41412145,0.16752493
0.551226067,0.551226067,0.392592593,0.25526652,0.39875057,0.32502735,0.28811473,0.2919064,0.3094918,0.32265463,0.37012082,0.39707273,0.38279128,0.41673768,0.16907485
0.560967417,0.560967417,0.455555556,0.25526652,0.39875057,0.32502735,0.28811473,0.2919064,0.3094918,0.32265463,0.37012082,0.39707273,0.38279128,0.41673768,0.16907485
0.565334229,0.565334229,0.466666667,0.25526652,0.39875057,0.32502735,0.28811473,0.2919064,0.3094918,0.32265463,0.37012082,0.39707273,0.38279128,0.41673768,0.16907485
0.115216661,0.115216661,0.425925926,0.27073884,0.38829514,0.3368127,0.29823348,0.30102864,0.3244524,0.3331779,0.36774102,0.39175805,0.37579027,0.40847322,0.17202632
0.113201209,0.113201209,0.377777778,0.27073884,0.38829514,0.3368127,0.29823348,0.30102864,0.3244524,0.3331779,0.36774102,0.39175805,0.37579027,0.40847322,0.17202632
0.112529392,0.112529392,0.403703704,0.27073884,0.38829514,0.3368127,0.29823348,0.30102864,0.3244524,0.3331779,0.36774102,0.39175805,0.37579027,0.40847322,0.17202632
0.025864965,0.025864965,0.340740741,0.26999658,0.39978713,0.3429908,0.30985194,0.31137773,0.3319502,0.34238145,0.38318944,0.40912372,0.39340848,0.42697105,0.17310725
0.025193147,0.025193147,0.307407407,0.26999658,0.39978713,0.3429908,0.30985194,0.31137773,0.3319502,0.34238145,0.38318944,0.40912372,0.39340848,0.42697105,0.17310725
0.022841787,0.022841787,0.311111111,0.26999658,0.39978713,0.3429908,0.30985194,0.31137773,0.3319502,0.34238145,0.38318944,0.40912372,0.39340848,0.42697105,0.17310725
0.09573396,0.09573396,0.385185185,0.27006108,0.39762366,0.34211484,0.3052418,0.30652377,0.3268539,0.33847055,0.37934282,0.40520924,0.39001918,0.42357278,0.17657654
0.096405778,0.096405778,0.344444444,0.27006108,0.39762366,0.34211484,0.3052418,0.30652377,0.3268539,0.33847055,0.37934282,0.40520924,0.39001918,0.42357278,0.17657654
0.094726234,0.094726234,0.396296296,0.27006108,0.39762366,0.34211484,0.3052418,0.30652377,0.3268539,0.33847055,0.37934282,0.40520924,0.39001918,0.42357278,0.17657654
0.135707088,0.135707088,0.292592593,0.26943576,0.40064138,0.343378,0.3084752,0.30946332,0.32890078,0.3407599,0.38358444,0.41007146,0.39488745,0.4286759,0.17579654
0.132348001,0.132348001,0.240740741,0.26943576,0.40064138,0.343378,0.3084752,0.30946332,0.32890078,0.3407599,0.38358444,0.41007146,0.39488745,0.4286759,0.17579654
0.129996641,0.129996641,0.255555556,0.26943576,0.40064138,0.343378,0.3084752,0.30946332,0.32890078,0.3407599,0.38358444,0.41007146,0.39488745,0.4286759,0.17579654
0.093046691,0.093046691,0.385185185,0.2699263,0.40108234,0.3436447,0.31153136,0.31298777,0.3333587,0.3437526,0.3850733,0.41117835,0.3954042,0.4290419,0.17267172
0.097413504,0.097413504,0.377777778,0.2699263,0.40108234,0.3436447,0.31153136,0.31298777,0.3333587,0.3437526,0.3850733,0.41117835,0.3954042,0.4290419,0.17267172
0.096741686,0.096741686,0.374074074,0.2699263,0.40108234,0.3436447,0.31153136,0.31298777,0.3333587,0.3437526,0.3850733,0.41117835,0.3954042,0.4290419,0.17267172
0.6069869,0.6069869,0.433333333,0.2694107,0.40257573,0.34429196,0.3118567,0.31291485,0.33235672,0.34362808,0.38672233,0.41334185,0.39786547,0.4317078,0.17391741
0.588511925,0.588511925,0.411111111,0.2694107,0.40257573,0.34429196,0.3118567,0.31291485,0.33235672,0.34362808,0.38672233,0.41334185,0.39786547,0.4317078,0.17391741
0.597917366,0.597917366,0.422222222,0.2694107,0.40257573,0.34429196,0.3118567,0.31291485,0.33235672,0.34362808,0.38672233,0.41334185,0.39786547,0.4317078,0.17391741
