Station,Latitude,Longitude,Dates,TDS,EC,pH,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MNDWI,NDWI,SI1,SI2,SI3,SI4,SI5,SI6
WARC,9.335145,40.172296,21/04/2018,0.214206347,0.292899408,0.641791045,0.16536278,0.25386846,0.21398258,0.1565146,0.16710478,0.20130989,0.20256326,0.21983111,0.23729256,0.21901426,0.24765246,0.05180379,-0.2061026,-0.13443905,0.598184327,0.568875541,0.261628896,0.341199244,0.033639845,0.27548367
Beseka  uper,8.90574,39.8977,19/05/2018,0.161901407,0.207100592,0.557835821,0.2013606,0.31291544,0.24803863,0.21212709,0.21398604,0.23207921,0.238284,0.2810146,0.3080483,0.28965563,0.3252602,0.06616157,-0.18775693,-0.15024489,0.666488032,0.652773413,0.315675124,0.428428717,0.04966171,0.360125543
Beseka  out  gate,8.888565,39.917802,01/03/2019,0.708664191,0.881656805,0.779850746,0.1289545,0.26275203,0.20093837,0.115424186,0.11704418,0.13275231,0.14427711,0.18257675,0.20788853,0.20158394,0.23047876,0.06055077,-0.38364744,-0.2653242,0.498173163,0.482149735,0.176981686,0.268251003,0.015537886,0.233099601
Beseka  middle,8.89731,39.90717,01/03/2019,0.708664191,0.881656805,0.776119403,0.1289393,0.26312882,0.2011963,0.11549602,0.11721492,0.13285755,0.1445785,0.18344514,0.20896266,0.20267312,0.23163222,0.061138567,-0.38363692,-0.26715034,0.498350844,0.482401218,0.177173544,0.269196692,0.015572886,0.234127597
Beseka  uper,8.90574,39.8977,01/03/2019,0.200859102,0.263313609,0.563432836,0.12892456,0.26344803,0.20138995,0.11555965,0.11736784,0.13294089,0.14484501,0.1842419,0.2099485,0.2036728,0.23268804,0.061691817,-0.38359794,-0.26882875,0.498498286,0.482625625,0.177337221,0.270057583,0.015602985,0.235069816
Beseka  out  gate,8.888565,39.917802,19/04/2019,0.662931245,0.881656805,0.802238806,0.1289545,0.26275203,0.20093837,0.115424186,0.11704418,0.13275231,0.14427711,0.18257675,0.20788853,0.20158394,0.23047876,0.06055077,-0.38364744,-0.2653242,0.498173163,0.482149735,0.176981686,0.268251003,0.015537886,0.233099601
Beseka  middle,8.89731,39.90717,19/04/2019,0.652768368,0.866863905,0.802238806,0.1289393,0.26312882,0.2011963,0.11549602,0.11721492,0.13285755,0.1445785,0.18344514,0.20896266,0.20267312,0.23163222,0.061138567,-0.38363692,-0.26715034,0.498350844,0.482401218,0.177173544,0.269196692,0.015572886,0.234127597
Beseka  uper,8.90574,39.8977,19/04/2019,0.146995854,0.195266272,0.503731343,0.12892456,0.26344803,0.20138995,0.11555965,0.11736784,0.13294089,0.14484501,0.1842419,0.2099485,0.2036728,0.23268804,0.061691817,-0.38359794,-0.26882875,0.498498286,0.482625625,0.177337221,0.270057583,0.015602985,0.235069816
Beseka  out  gate,8.888565,39.917802,19/04/2020,0.131429714,0.177514793,0.496268657,0.14404733,0.2997104,0.23110603,0.12417082,0.127352,0.1468547,0.16228752,0.20267914,0.22863017,0.22457844,0.2547282,0.08246996,-0.40359065,-0.27626607,0.52060111,0.501520505,0.194383215,0.29701904,0.018702239,0.258174374
Beseka  middle,8.89731,39.90717,19/04/2020,0.61211686,0.822485207,0.96641791,0.14360519,0.30002597,0.23145857,0.12419555,0.12743773,0.14703692,0.16251488,0.20285608,0.2288042,0.22478034,0.25491163,0.082644865,-0.40374947,-0.2763703,0.520799845,0.50163062,0.194577057,0.297298555,0.018738052,0.258392286
Beseka  uper,8.90574,39.8977,19/04/2020,0.61211686,0.822485207,0.970149254,0.14320365,0.30030692,0.23176034,0.12421741,0.1275166,0.14719765,0.16272153,0.20302989,0.2289776,0.22497854,0.25509244,0.08282643,-0.40388224,-0.27649158,0.520975107,0.501731014,0.194750175,0.297561712,0.018770143,0.258603605
WEIR SITE,9.206525,40.119202,19/04/2020,0.095317624,0.127218935,0.305970149,0.15070377,0.28828755,0.2247678,0.13378085,0.13960405,0.16249017,0.17453176,0.210692,0.235197,0.22648743,0.2570297,0.07791558,-0.34747937,-0.23732696,0.544307841,0.522862218,0.214224991,0.311751346,0.022684285,0.266056094
DEHOSPPRING,9.166462,40.083482,19/04/2020,0.322339359,0.431952663,0.52238806,0.14927578,0.29039523,0.2254814,0.13192555,0.13731727,0.1593922,0.17226616,0.20965932,0.23451622,0.22669235,0.2571316,0.07961752,-0.3578992,-0.24552944,0.53973859,0.518886137,0.210385132,0.309275484,0.0218873,0.265038589
KESEM,9.335145,40.172296,19/04/2020,0.041369685,0.056213018,0.298507463,0.15288582,0.28394812,0.22443001,0.13876821,0.14592208,0.17137969,0.18131362,0.21384558,0.23737854,0.2264422,0.25719967,0.07370776,-0.32108772,-0.2162402,0.556909235,0.533563764,0.225087205,0.319280944,0.02500808,0.269386942
Beseka  out  gate,8.888565,39.917802,31/03/2021,0.181193935,0.24260355,0.623134328,0.13226321,0.29498735,0.23380435,0.13139175,0.13636164,0.16674167,0.17931566,0.20127599,0.22154671,0.21861382,0.24564357,0.0897007,-0.3677433,-0.23171228,0.54601595,0.517448927,0.215400283,0.306902727,0.022737168,0.257655777
Beseka  middle,8.89731,39.90717,31/03/2021,0.609067996,0.792899408,0.940298507,0.13222314,0.29552853,0.23425649,0.13120766,0.1362817,0.16674463,0.17939508,0.20148219,0.2218164,0.21904375,0.24600948,0.0901164,-0.36878893,-0.23291901,0.545850066,0.517193734,0.215351978,0.307175255,0.022724243,0.257978418
Beseka  uper,8.90574,39.8977,31/03/2021,0.586370904,0.763313609,0.947761194,0.13218154,0.29600877,0.23465252,0.1310384,0.13620715,0.16674073,0.17946184,0.20166571,0.22205636,0.21943064,0.24633434,0.0905079,-0.36972636,-0.23401195,0.545691422,0.516957973,0.215301785,0.307416109,0.022711279,0.258267677
DEHOSPPRING,9.166462,40.083482,31/03/2021,0.326943142,0.426035503,0.48880597,0.13698418,0.28124318,0.22843486,0.13461442,0.14073886,0.17101826,0.1814919,0.2014646,0.22025529,0.21591902,0.24055949,0.0893109,-0.33296278,-0.21079068,0.552840556,0.524741158,0.221482891,0.309314877,0.024068914,0.25773717
KESEM,9.335145,40.172296,31/03/2021,0.044232229,0.059171598,0.369402985,0.14185059,0.27237895,0.22717084,0.1373683,0.14467718,0.17582083,0.18442872,0.202676,0.22052835,0.21507141,0.23816942,0.08748302,-0.30619806,-0.1956762,0.559633035,0.531079545,0.227693761,0.313209451,0.025437262,0.259204932
WEIR SITE,9.206525,40.119202,31/03/2021,0.169303369,0.227810651,0.451492537,0.13834019,0.27822492,0.22758077,0.13554426,0.14189264,0.17230852,0.18219902,0.20157912,0.22004399,0.21524775,0.2395106,0.08845795,-0.32450983,-0.20539573,0.554844821,0.52672279,0.223212338,0.310089248,0.024449311,0.257808293
WARC,9.335145,40.172296,31/03/2021,0.15653202,0.210059172,0.414179104,0.14185059,0.27237895,0.22717084,0.1373683,0.14467718,0.17582083,0.18442872,0.202676,0.22052835,0.21507141,0.23816942,0.08748302,-0.30619806,-0.1956762,0.559633035,0.531079545,0.227693761,0.313209451,0.025437262,0.259204932
Beseka  out  gate,8.888565,39.917802,20/04/2021,0.05942573,0.079881657,0.302238806,0.13546276,0.3088495,0.24610774,0.13024823,0.13653949,0.16933554,0.18159474,0.20438187,0.22683574,0.22609183,0.25314978,0.09937469,-0.38687533,-0.24695149,0.547342468,0.516514978,0.217525995,0.313743645,0.023120988,0.264122223
Beseka  middle,8.89731,39.90717,20/04/2021,0.563673812,0.733727811,0.854477612,0.13544597,0.30940425,0.24657793,0.13032465,0.13674718,0.1696709,0.18205947,0.20498273,0.22749773,0.22681901,0.25386444,0.10012111,-0.38699207,-0.24774534,0.547718488,0.516789927,0.217917425,0.314539134,0.023202017,0.264852137
Beseka  uper,8.90574,39.8977,20/04/2021,0.586370904,0.763313609,0.839552239,0.1354264,0.3099023,0.24699077,0.13039212,0.1369355,0.16997188,0.18248159,0.20553255,0.22810143,0.22748373,0.25451297,0.100824565,-0.3870908,-0.2484727,0.548054744,0.51703735,0.218269954,0.315262783,0.023275185,0.265518702
DEHOSPPRING,9.166462,40.083482,20/04/2021,0.631765088,0.822485207,0.492537313,0.14068367,0.29415506,0.23777632,0.13552764,0.14296952,0.17572162,0.18606773,0.20729004,0.22824192,0.22467686,0.2503817,0.09777634,-0.34586373,-0.22224438,0.557897173,0.527728301,0.226535581,0.319058086,0.025122834,0.266308047
KESEM,9.335145,40.172296,20/04/2021,0.048415946,0.065088757,0.242537313,0.1458777,0.28357172,0.23392239,0.1405628,0.14899106,0.18251714,0.19086716,0.21033642,0.2303863,0.22422253,0.24954432,0.093642086,-0.311124,-0.2015775,0.568401217,0.538102096,0.235607393,0.325248497,0.027193423,0.2692101
WEIR SITE,9.206525,40.119202,20/04/2021,0.032782054,0.044378698,0.194029851,0.14211068,0.2906739,0.23619388,0.1368293,0.14442024,0.17724575,0.18693084,0.20755413,0.22819099,0.22385445,0.24944586,0.09601234,-0.3361426,-0.21569285,0.560423994,0.53032965,0.228633464,0.319975119,0.025597874,0.266398237
WARC,9.335145,40.172296,20/04/2021,0.10060232,0.136094675,0.294776119,0.1458777,0.28357172,0.23392239,0.1405628,0.14899106,0.18251714,0.19086716,0.21033642,0.2303863,0.22422253,0.24954432,0.093642086,-0.311124,-0.2015775,0.568401217,0.538102096,0.235607393,0.325248497,0.027193423,0.2692101
Beseka  out  gate,8.888565,39.917802,22/05/2021,0.180753543,0.24260355,0.656716418,0.12561783,0.25363824,0.19727525,0.11162222,0.11379026,0.12274624,0.1408828,0.19140907,0.21601544,0.21036825,0.23606613,0.07443565,-0.38061276,-0.29793444,0.484116162,0.474776243,0.167376407,0.26883017,0.013967326,0.239171532
Beseka  middle,8.89731,39.90717,22/05/2021,0.586370904,0.763313609,0.902985075,0.12559028,0.25429428,0.19780445,0.111687765,0.113975026,0.1230284,0.14129254,0.19208722,0.21678522,0.21118058,0.23688762,0.07515096,-0.38102347,-0.29895088,0.484475141,0.475039778,0.167708954,0.269673009,0.014022165,0.239974051
Beseka  uper,8.90574,39.8977,22/05/2021,0.563673812,0.733727811,0.902985075,0.12556253,0.2548874,0.19827032,0.11174637,0.11414488,0.123283625,0.14166887,0.19271958,0.21750034,0.21193442,0.23764738,0.07582872,-0.3813827,-0.29989496,0.484798923,0.475280178,0.168011622,0.270451663,0.014072194,0.240718197
WEIR SITE,9.206525,40.119202,22/05/2021,0.169303369,0.227810651,0.294776119,0.13659586,0.2551089,0.20221929,0.12418318,0.12984127,0.14497264,0.16059026,0.20596293,0.22842917,0.219569,0.24517694,0.07947406,-0.32541257,-0.25679764,0.518802289,0.504008379,0.194617112,0.29340478,0.018823432,0.255086847
DEHOSPPRING,9.166462,40.083482,22/05/2021,0.330266403,0.443786982,0.339552239,0.1343891,0.25496048,0.20095243,0.12176499,0.12689438,0.14077036,0.15709276,0.2039594,0.22685233,0.2186253,0.24417254,0.07970272,-0.33537897,-0.2654868,0.512382034,0.49865757,0.189521712,0.289336317,0.017862968,0.25278293
KESEM,9.335145,40.172296,22/05/2021,0.048636142,0.065088757,0.27238806,0.1423547,0.25788754,0.20767717,0.13080493,0.1382376,0.15707305,0.17120896,0.21341707,0.23509338,0.22471571,0.2505531,0.080999695,-0.3020509,-0.23826237,0.536542614,0.51869309,0.209240474,0.30704841,0.0217134,0.263830974
WARC,9.335145,40.172296,22/05/2021,0.16159652,0.215976331,0.317164179,0.1423547,0.25788754,0.20767717,0.13080493,0.1382376,0.15707305,0.17120896,0.21341707,0.23509338,0.22471571,0.2505531,0.080999695,-0.3020509,-0.23826237,0.536542614,0.51869309,0.209240474,0.30704841,0.0217134,0.263830974
Beseka  out  gate,8.888565,39.917802,01/02/2022,0.119047942,0.218934911,0.417910448,0.123074725,0.24665438,0.16829595,0.10955318,0.11632102,0.12435932,0.15463713,0.22589087,0.26033664,0.25963607,0.29122627,0.09822547,-0.3590694,-0.38120055,0.483645012,0.475262244,0.170281589,0.3104943,0.014465603,0.284502145
Beseka  middle,8.89731,39.90717,01/02/2022,0.587278788,0.763313609,0.794776119,0.12296541,0.24662589,0.16811347,0.10945928,0.11631572,0.12429896,0.15483437,0.22649792,0.26107073,0.2604771,0.2920963,0.099031016,-0.35903892,-0.38260117,0.483485513,0.475157872,0.170233894,0.311171811,0.014457923,0.285267707
Beseka  uper,8.90574,39.8977,01/02/2022,0.583420282,0.76035503,0.791044776,0.123074725,0.24665438,0.16829595,0.10955318,0.11632102,0.12435932,0.15463713,0.22589087,0.26033664,0.25963607,0.29122627,0.09822547,-0.3590694,-0.38120055,0.483645012,0.475262244,0.170281589,0.3104943,0.014465603,0.284502145
KESEM,9.335145,40.172296,12/04/2024,0.099428955,0.099428955,0.292592593,0.14167893,0.25401503,0.20196185,0.13115059,0.1362151,0.15911277,0.16672012,0.19162033,0.21151234,0.20231219,0.22898765,0.06493872,-0.30187294,-0.1952489,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
KESEM,9.335145,40.172296,12/04/2024,0.097413504,0.097413504,0.418518519,0.14167893,0.25401503,0.20196185,0.13115059,0.1362151,0.15911277,0.16672012,0.19162033,0.21151234,0.20231219,0.22898765,0.06493872,-0.30187294,-0.1952489,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
KESEM,9.335145,40.172296,12/04/2024,0.100436681,0.100436681,0.381481481,0.14167893,0.25401503,0.20196185,0.13115059,0.1362151,0.15911277,0.16672012,0.19162033,0.21151234,0.20231219,0.22898765,0.06493872,-0.30187294,-0.1952489,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
DEHOSPPRING,9.166462,40.083482,12/04/2024,0.993281827,0.993281827,0.974074074,0.13505812,0.25767913,0.1994269,0.123952664,0.12721254,0.14793575,0.1590486,0.1901494,0.21205758,0.20490174,0.23232624,0.068811156,-0.33896965,-0.23392309,0.521429202,0.501163849,0.195110266,0.282935927,0.018819282,0.241179919
DEHOSPPRING,9.166462,40.083482,12/04/2024,1,1,0.977777778,0.13505812,0.25767913,0.1994269,0.123952664,0.12721254,0.14793575,0.1590486,0.1901494,0.21205758,0.20490174,0.23232624,0.068811156,-0.33896965,-0.23392309,0.521429202,0.501163849,0.195110266,0.282935927,0.018819282,0.241179919
DEHOSPPRING,9.166462,40.083482,12/04/2024,0.993281827,0.993281827,0.977777778,0.13505812,0.25767913,0.1994269,0.123952664,0.12721254,0.14793575,0.1590486,0.1901494,0.21205758,0.20490174,0.23232624,0.068811156,-0.33896965,-0.23392309,0.521429202,0.501163849,0.195110266,0.282935927,0.018819282,0.241179919
KEBENA,9.251618,40.048613,12/04/2024,0.025864965,0.025864965,0.444444444,0.13575959,0.259958,0.20215704,0.1251071,0.12891465,0.1503945,0.16099809,0.19025595,0.21152464,0.2046777,0.23129664,0.07013752,-0.33698267,-0.22711267,0.524882457,0.504005703,0.198084561,0.284834083,0.019388055,0.241892433
KEBENA,9.251618,40.048613,12/04/2024,0.04165267,0.04165267,0.440740741,0.13575959,0.259958,0.20215704,0.1251071,0.12891465,0.1503945,0.16099809,0.19025595,0.21152464,0.2046777,0.23129664,0.07013752,-0.33698267,-0.22711267,0.524882457,0.504005703,0.198084561,0.284834083,0.019388055,0.241892433
